Country,2020-03-18 18:53,2020-03-18 19:07,2020-03-18 19:17,2020-03-18 19:27,2020-03-18 20:09,2020-03-18 20:18,2020-03-18 20:28,2020-03-18 20:57,2020-03-18 21:07,2020-03-18 21:17,2020-03-18 21:27,2020-03-18 21:37,2020-03-18 21:47,2020-03-18 21:57,2020-03-18 22:07,2020-03-18 22:17
CONFIRMED,214894,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,214894.0,215947.0,215955.0,215955.0,215956.0,215956.0,217247.0,217247.0
DEATHS,8732,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8732.0,8749.0,8749.0,8749.0,8757.0,8757.0,8784.0,8784.0
RECOVERED,83313,83313.0,83313.0,83313.0,83313.0,83313.0,83313.0,83313.0,83323.0,83328.0,83328.0,83328.0,84080.0,84080.0,84083.0,84083.0
Afghanistan,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Albania,59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
Algeria,72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0
Andorra,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Argentina,79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
Armenia,84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
Australia,568,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0,568.0
Austria,1646,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0,1646.0
Azerbaijan,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Bahrain,256,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
Belarus,51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Belgium,1486,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0,1486.0
Bosnia and Herzegovina,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Brazil,372,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0,372.0
Brunei,68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Bulgaria,92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Burkina Faso,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Cambodia,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Canada,657,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0,657.0
Chile,238,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0
China,81102,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0,81102.0
Colombia,93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
Costa Rica,50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Croatia,81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
Cruise Ship,712,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0,712.0
